Year,Name,College,POS,Height,Weight,HandSize,ArmLength,Wonderlic,FortyYard,BenchPress,VertLeap,BroadJump,Shuttle,ThreeCone,SixtyYdShuttle,Touches,RushAvg,RushTDPct,RecAvg,RecTDPct,Rookie AV
2006,Maurice Jones-Drew,UCLA,RB,66.75,207,8.25,28.13,,4.39,18,36,116,4.38,7.08,11.39,545,5.2,0.054,12.8,0.109,49
2006,Joseph Addai,LSU,RB,71.25,214,9.5,31.38,,4.43,18,37,125,4.47,7.09,,556,5.3,0.037,9.7,0.091,46
2006,Reggie Bush,USC,RB,70.875,201,,,,,,,,,,,528,7.3,0.058,13.7,0.137,36
2006,DeAngelo Williams,Memphis,RB,69,214,9.38,30.5,,4.49,25,35.5,121,,,,1039,6.2,0.057,10.3,0.071,34
2006,Leon Washington,Florida St.,RB,67.88,201,9,29,,4.49,17,32.5,105,4.37,6.94,11.62,424,5.5,0.033,8.7,0.018,25
2006,Jerious Norwood,Mississippi St.,RB,71.625,210,9.88,31.25,,4.4,15,36.5,122,4.25,6.81,11.52,616,5.6,0.026,4.3,0.047,21
2006,LenDale White,USC,RB,72.375,238,,,,,,,,,,,572,5.8,0.096,10.7,0.161,15
2006,Mike Bell,Arizona,RB,72.25,221,9.25,30,,4.62,19,31.5,112,4.21,7.16,11.48,735,4.6,0.025,8.3,0.018,11
2006,Jerome Harrison,Washington St.,RB,69.25,201,9.25,30,,4.49,19,34.5,124,4.07,6.77,,516,5.8,0.052,8.1,0.029,11
2006,Wali Lundy,Virginia,RB,71,214,9.5,31.5,,4.52,18,35,111,4.36,6.99,11.27,856,4.3,0.058,7.9,0.079,5
2006,Andre Hall,South Florida,RB,68.5,208,9.88,29.5,,4.45,18,33,113,,7.38,,524,5.7,0.05,10.7,0.068,3
2006,Quinton Ganther,Utah,RB,69.5,218,8.63,28.38,,4.56,29,35,119,,7.19,,346,5.6,0.029,11.3,0.063,3
2006,Marques Hagans,Virginia,RB,69.375,202,9.25,30,,4.64,,35,114,4.38,7.03,,269,3.8,0.046,9.1,0,1
2006,Brian Calhoun,Wisconsin,RB,69.25,201,9,29.13,,4.6,18,31.5,124,4.2,7.05,,709,4.5,0.044,10.1,0.044,1
2006,A.J. Harris,Northern Illinois,RB,72.625,231,,,,,,,,,,,373,4.7,0.035,6.4,0,0
2006,Chris Barclay,Wake Forest,RB,68.75,180,,,,,,,,,,,902,4.8,0.048,6.1,0,0
2006,Cory Ross,Nebraska,RB,66.25,201,9,29.38,,4.59,15,,,,,,668,4.6,0.028,10.3,0.07,0
2006,DeArrius Howard,Arkansas,RB,70.625,229,,,,,,,,,,,414,4.2,0.051,-1,0,0
2006,Derrick Ross,Tarleton State,RB,70.5,226,,,,4.53,20,35,112,4.35,7,,0,,,,,0
2006,DonTrell Moore,New Mexico,RB,69.75,210,9.38,30.5,,4.65,18,32,116,4.32,7.1,12.07,1103,4.9,0.05,9.5,0.09,0
2006,Gerald Riggs,Michigan St.,RB,70.875,232,,,,,,,,,,,0,,,,,0
2006,Ryan Gilbert,Houston,RB,69.625,228,,,,,,,,,,,291,5.4,0.047,11.2,0.081,0
2006,Taurean Henderson,Texas Tech,RB,69.5,204,9.25,31.5,,4.68,,32.5,112,4.4,7.01,11.94,890,5.5,0.085,6.8,0.063,0
2006,Terrence Whitehead,Oregon,RB,70.125,209,10,29,,4.73,,30.5,108,4.27,7.21,11.86,745,4.6,0.029,9.2,0.06,0
2006,Travis Glasford,West. Illinois,RB,68.875,190,,,,,,,,,,,0,,,,,0
2006,Wendell Mathis,Fresno St.,RB,71.375,210,9.25,31,,4.54,20,33,117,4.22,6.93,11.27,435,5.7,0.066,9.3,0.043,0
2006,Cedric Humes,Virginia Tech,RB,72.875,227,9.88,31.75,,4.68,18,30.5,106,4.22,7.07,,402,4.8,0.056,7.7,0,0
2006,P.J. Daniels,Georgia Tech,RB,70.13,214,9,30.5,,4.66,21,33,116,4.4,7.13,11.76,763,4.7,0.033,6.6,0.054,0
2007,Adrian Peterson,Oklahoma,RB,73.5,217,9.25,33.75,16,4.41,,38.5,127,4.4,7.09,,772,5.4,0.055,8.3,0.042,50
2007,Marshawn Lynch,California,RB,71.125,215,9.25,31.13,,4.48,20,35.5,125,4.55,7.05,11.8,558,6.6,0.059,8.8,0.088,27
2007,Ahmad Bradshaw,Marshall,RB,69.5,198,8.5,31.5,,4.61,,34,112,4.09,6.7,,645,5.3,0.056,8,0.057,21
2007,Brandon Jackson,Nebraska,RB,69.875,210,10.13,31.38,,4.56,21,37,122,4.14,7,11.86,325,4.9,0.048,9.4,0.059,17
2007,Selvin Young,Texas,RB,71,207,,,,,,,,,,,402,4.7,0.068,5.8,0.027,9
2007,Brian Leonard,Rutgers,RB,73.5,226,9.13,31,,4.54,28,34.5,122,4.22,6.88,11.59,885,4.1,0.047,9,0.063,6
2007,Kenneth Darby,Alabama,RB,70.375,211,9,30.5,,4.76,19,30,108,4.53,7.25,12.07,772,4.7,0.016,4.9,0.029,4
2007,Kolby Smith,Louisville,RB,71.25,220,9.63,33.75,,4.52,18,38,114,4.34,7.22,12.08,372,5.9,0.057,10.4,0.036,4
2007,Darius Walker,Notre Dame,RB,70,206,9.63,31.75,,4.56,19,40.5,123,4.39,7.18,,802,4.7,0.033,7.5,0.028,3
2007,Antonio Pittman,Ohio St.,RB,70.75,207,8.5,31.5,,4.42,16,35.5,123,4.16,6.84,,594,5.3,0.039,8.5,0,3
2007,DeShawn Wynn,Florida,RB,70.38,232,8.75,30.5,,4.49,,31.5,115,,,,481,4.7,0.056,10.7,0.086,3
2007,Lorenzo Booker,Florida St.,RB,70.38,191,9,31.75,,4.5,26,35.5,121,,,,611,4.8,0.03,8.7,0.018,3
2007,Garrett Wolfe,Northern Illinois,RB,67.5,186,9.13,30.13,,4.4,22,35.5,116,4.08,6.69,,865,6.4,0.064,10.1,0.086,2
2007,Eldra Buckley,Tenn-Chattanooga,RB,69.5,202,9,30.38,,4.61,14,35.5,120,4.43,7.71,12.2,0,,,,,1
2007,Gary Russell,Minnesota,RB,70.375,229,9,31.5,,4.84,9,31.5,113,4.54,,,226,6.1,0.086,10.5,0.063,1
