yearID,franchName,WinTotal,LossTotal,ThreeYearWPCT
1973,Cincinnati Reds,216,216,0.5
1974,Cincinnati Reds,201,231,0.465
1975,Cincinnati Reds,205,281,0.422
1976,Cincinnati Reds,233,252,0.48
1977,Cincinnati Reds,245,240,0.505
1978,Cincinnati Reds,259,226,0.534
1979,Cincinnati Reds,257,228,0.53
1980,Cincinnati Reds,246,239,0.507
1981,Cincinnati Reds,253,232,0.522
1982,Cincinnati Reds,240,246,0.494
1983,Cincinnati Reds,255,231,0.525
1984,Cincinnati Reds,237,249,0.488
1985,Cincinnati Reds,229,209,0.523
1986,Cincinnati Reds,224,196,0.533
1987,Cincinnati Reds,232,188,0.552
1988,Cincinnati Reds,242,226,0.517
1989,Cincinnati Reds,234,252,0.481
1990,Cincinnati Reds,249,238,0.511
1991,Cincinnati Reds,258,229,0.53
1992,Cincinnati Reds,247,240,0.507
1993,Cincinnati Reds,229,257,0.471
1994,Cincinnati Reds,213,273,0.438
1995,Cincinnati Reds,223,263,0.459
1996,Cincinnati Reds,218,268,0.449
1997,Cincinnati Reds,229,257,0.471
1998,Cincinnati Reds,225,261,0.463
1999,Cincinnati Reds,226,260,0.465
2000,Cincinnati Reds,224,262,0.461
2001,Cincinnati Reds,243,243,0.5
2002,Cincinnati Reds,248,238,0.51
2003,Cincinnati Reds,267,219,0.549
2004,Cincinnati Reds,266,220,0.547
2005,Cincinnati Reds,263,223,0.541
2006,Cincinnati Reds,230,256,0.473
2007,Cincinnati Reds,208,278,0.428
2008,Cincinnati Reds,200,286,0.412
2009,Cincinnati Reds,203,283,0.418
2010,Cincinnati Reds,210,276,0.432
1965,Cleveland Indians,220,260,0.458
1966,Cleveland Indians,227,256,0.47
1967,Cleveland Indians,237,243,0.494
1968,Cleveland Indians,231,248,0.482
1969,Cleveland Indians,221,258,0.461
1970,Cleveland Indians,221,260,0.459
1971,Cleveland Indians,229,251,0.477
1972,Cleveland Indians,212,212,0.5
1973,Cleveland Indians,209,216,0.492
1974,Cleveland Indians,200,227,0.468
1975,Cleveland Indians,223,263,0.459
1976,Cleveland Indians,205,281,0.422
1977,Cleveland Indians,219,267,0.451
1978,Cleveland Indians,205,281,0.422
1979,Cleveland Indians,223,263,0.459
1980,Cleveland Indians,212,274,0.436
1981,Cleveland Indians,228,258,0.469
1982,Cleveland Indians,207,279,0.426
1983,Cleveland Indians,210,276,0.432
1984,Cleveland Indians,209,277,0.43
1985,Cleveland Indians,218,219,0.499
1986,Cleveland Indians,242,177,0.578
1987,Cleveland Indians,265,153,0.634
1988,Cleveland Indians,285,181,0.612
1989,Cleveland Indians,274,210,0.566
1990,Cleveland Indians,272,213,0.561
1991,Cleveland Indians,276,210,0.568
1992,Cleveland Indians,278,208,0.572
1993,Cleveland Indians,255,231,0.525
1994,Cleveland Indians,233,253,0.479
1995,Cleveland Indians,222,264,0.457
1996,Cleveland Indians,241,245,0.496
1997,Cleveland Indians,251,235,0.516
1998,Cleveland Indians,267,219,0.549
1999,Cleveland Indians,255,231,0.525
2000,Cleveland Indians,242,244,0.498
2001,Cleveland Indians,215,271,0.442
2002,Cleveland Indians,214,272,0.44
2003,Cleveland Indians,217,269,0.447
2004,Cleveland Indians,240,246,0.494
2005,Cleveland Indians,245,241,0.504
2006,Cleveland Indians,258,227,0.532
2007,Cleveland Indians,260,224,0.537
2008,Cleveland Indians,277,207,0.572
2009,Cleveland Indians,287,198,0.592
2010,Cleveland Indians,286,200,0.588
1993,Colorado Rockies,228,258,0.469
1994,Colorado Rockies,220,266,0.453
1995,Colorado Rockies,215,271,0.442
1996,Colorado Rockies,209,277,0.43
1997,Colorado Rockies,211,275,0.434
1998,Colorado Rockies,233,254,0.478
1999,Colorado Rockies,240,247,0.493
2000,Colorado Rockies,256,231,0.526
2001,Colorado Rockies,249,237,0.512
2002,Colorado Rockies,248,238,0.51
2003,Colorado Rockies,220,266,0.453
2004,Colorado Rockies,211,275,0.434
2005,Colorado Rockies,204,282,0.42
2006,Colorado Rockies,208,278,0.428
2007,Colorado Rockies,209,277,0.43
2008,Colorado Rockies,230,256,0.473
2009,Colorado Rockies,253,234,0.52
2010,Colorado Rockies,249,238,0.511
1965,Detroit Tigers,243,237,0.506
1966,Detroit Tigers,214,269,0.443
1967,Detroit Tigers,203,279,0.421
1968,Detroit Tigers,205,277,0.425
1969,Detroit Tigers,234,251,0.482
1970,Detroit Tigers,245,240,0.505
1971,Detroit Tigers,255,230,0.526
1972,Detroit Tigers,229,203,0.53
1973,Detroit Tigers,227,206,0.524
1974,Detroit Tigers,235,198,0.543
1975,Detroit Tigers,279,207,0.574
1976,Detroit Tigers,280,205,0.577
1977,Detroit Tigers,275,210,0.567
1978,Detroit Tigers,269,216,0.555
1979,Detroit Tigers,273,213,0.562
1980,Detroit Tigers,245,241,0.504
1981,Detroit Tigers,226,260,0.465
1982,Detroit Tigers,222,264,0.457
1983,Detroit Tigers,238,248,0.49
1984,Detroit Tigers,244,242,0.502
1985,Detroit Tigers,213,226,0.485
1986,Detroit Tigers,198,223,0.47
1987,Detroit Tigers,166,255,0.394
1988,Detroit Tigers,192,276,0.41
1989,Detroit Tigers,197,289,0.405
1990,Detroit Tigers,213,272,0.439
1991,Detroit Tigers,213,272,0.439
1992,Detroit Tigers,214,271,0.441
1993,Detroit Tigers,200,285,0.412
1994,Detroit Tigers,164,321,0.338
1995,Detroit Tigers,170,315,0.351
1996,Detroit Tigers,186,300,0.383
1997,Detroit Tigers,238,248,0.49
1998,Detroit Tigers,254,232,0.523
1999,Detroit Tigers,257,229,0.529
2000,Detroit Tigers,248,239,0.509
2001,Detroit Tigers,241,246,0.495
2002,Detroit Tigers,262,225,0.538
2003,Detroit Tigers,264,222,0.543
2004,Detroit Tigers,276,210,0.568
2005,Detroit Tigers,271,215,0.558
2006,Detroit Tigers,257,228,0.53
2007,Detroit Tigers,250,234,0.517
2008,Detroit Tigers,224,260,0.463
2009,Detroit Tigers,214,271,0.441
2010,Detroit Tigers,175,310,0.361
1993,Miami Marlins,234,251,0.482
1994,Miami Marlins,246,240,0.506
1995,Miami Marlins,253,233,0.521
1996,Miami Marlins,257,229,0.529
1997,Miami Marlins,244,242,0.502
1998,Miami Marlins,232,254,0.477
1999,Miami Marlins,233,252,0.48
2000,Miami Marlins,242,243,0.499
2001,Miami Marlins,251,234,0.518
2002,Miami Marlins,239,247,0.492
2003,Miami Marlins,221,265,0.455
2004,Miami Marlins,203,283,0.418
2005,Miami Marlins,208,278,0.428
2006,Miami Marlins,210,276,0.432
2007,Miami Marlins,227,258,0.468
2008,Miami Marlins,227,258,0.468
2009,Miami Marlins,219,265,0.452
2010,Miami Marlins,197,288,0.406
1965,Houston Astros,247,230,0.518
